"","epci","commune","numero_d_immatriculation","date_d_immatriculation","date_de_la_derniere_maj","type_de_syndic_benevole_professionnel_non_connu","identification_du_representant_legal_raison_sociale_et_le_numer","raison_sociale_du_representant_legal","siret_du_representant_legal","code_ape","commune_du_representant_legal","mandat_en_cours_dans_la_copropriete","date_de_fin_du_dernier_mandat","nom_d_usage_de_la_copropriete","adresse_de_reference","numero_et_voie_adresse_de_reference","code_postal_adresse_de_reference","commune_adresse_de_reference","adresse_complementaire_1","adresse_complementaire_2","adresse_complementaire_3","nombre_d_adresses_complementaires","long","lat","date_du_reglement_de_copropriete","residence_service","syndicat_cooperatif","syndicat_principal_ou_syndicat_secondaire","si_secondaire_n_d_immatriculation_du_principal","nombre_d_asl_auxquelles_est_rattache_le_syndicat_de_coproprieta","nombre_d_aful_auxquelles_est_rattache_le_syndicat_de_copropriet","nombre_d_unions_de_syndicats_auxquelles_est_rattache_le_syndica","nombre_total_de_lots","nombre_total_de_lots_a_usage_d_habitation_de_bureaux_ou_de_comm","nombre_de_lots_a_usage_d_habitation","nombre_de_lots_de_stationnement","periode_de_construction","reference_cadastrale_1","code_insee_commune_1","prefixe_1","section_1","numero_parcelle_1","reference_cadastrale_2","code_insee_commune_2","prefixe_2","section_2","numero_parcelle_2","reference_cadastrale_3","code_insee_commune_3","prefixe_3","section_3","numero_parcelle_3","nombre_de_parcelles_cadastrales","nom_qp_2015","code_qp_2015","nom_qp_2024","code_qp_2024","copro_dans_acv","copro_dans_pvd","code_de_pdp","copro_dans_pdp","copro_aidee","code_officiel_commune","nom_officiel_commune","code_officiel_arrondissement_commune","nom_officiel_arrondissement_commune","code_officiel_epci","nom_officiel_epci","code_officiel_departement","nom_officiel_departement","code_officiel_region","nom_officiel_region"
"509287",200057875,"93010","AH3867066","2022-02-28","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-09-30","34 allée alice","34 all alice 93140 Bondy","34 all alice",93140,"Bondy","non connu","non connu","non connu",0,2.497653,48.90135,"1970-01-16","non","non","oui","non connu",0,0,0,13,11,6,0,"AVANT_1949","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"512163",200057875,"93010","AH4324430","2022-04-06","2025-08-24","professionnel","MDB IMMOBILIER 50863027400068","MDB IMMOBILIER ","50863027400068","6831Z","ISSY LES MOULINEAUX","Mandat en cours","2026-06-30","SDC 73 RUE ROGER SALENGRO","73 r roger salengro 93140 Bondy","73 r roger salengro",93140,"Bondy","non connu","non connu","non connu",0,2.477304,48.897232,"1991-09-02","non","non","oui","non connu",0,0,0,53,16,16,15,"NON_CONNUE","93010000AJ0012","93010","000","AJ","0012","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"514551",200057875,"93010","AH4732079","2022-04-12","2025-08-24","professionnel","GCI LE PRE 84463672000014","GCI LE PRE ","84463672000014","6831Z","LE PRE SAINT GERVAIS","Mandat en cours","2026-12-19","SDC Le Patio - av Jean Moulin 93140 BONDY","av jean moulin, 93140 Bondy","av jean moulin,",93140,"Bondy","r odette pain, 93140 Bondy","av leon blum, 93140 Bondy","non connu",2,2.476376,48.914579,"2019-12-19","non","non","oui","non connu",0,0,0,447,197,192,250,"A_COMPTER_DE_2011","930100000B0252","93010","000","0B","0252","930100000B0251","93010","000","0B","0251","930100000B0249","93010","000","0B","0249",5,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"515800",200057875,"93010","AH4955720","2022-05-09","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2022-12-31","SDC 27-47 ADN","31 r alexandra david neel 93140 Bondy","31 r alexandra david neel",93140,"Bondy","non connu","non connu","non connu",0,2.486775,48.894601,"2005-01-01","non","oui","oui","non connu",1,11,0,25,11,11,0,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"516817",200057875,"93010","AH5131271","2022-05-04","2025-11-15","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-09-11","56-60 Rue MICHELET","60 r michelet 93140 Bondy","60 r michelet",93140,"Bondy","non connu","non connu","non connu",0,2.47573,48.89941,"2005-05-25","non","non","oui","non connu",0,0,0,53,31,30,22,"DE_1994_A_2000","93010000AI0059","93010","000","AI","0059","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"517527",200057875,"93010","AH5260534","2022-05-10","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 42 RUE ROBERT DOUVILLEZ 93140 BONDY","42 r robert douvillez 93140 Bondy","42 r robert douvillez",93140,"Bondy","non connu","non connu","non connu",0,2.493317,48.904738,"2021-12-29","non","non connu","oui","non connu",0,0,0,10,5,5,5,"A_COMPTER_DE_2011","930100000S0096","93010","000","0S","0096","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"518134",200057875,"93010","AH5362686","2022-05-16","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-07-08","SYNDIC IDEAL","22B av de l'ideal 93140 Bondy","22B av de l'ideal",93140,"Bondy","non connu","non connu","non connu",0,2.495865,48.895332,"1989-06-28","non","oui","oui","non connu",0,0,0,12,6,6,6,"DE_1949_A_1960","93010000AO0259","93010","000","AO","0259","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"520711",200057875,"93010","AH5808373","2022-06-08","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 59 rue Roger Salengro 93140 BONDY","59 r roger salengro 93140 Bondy","59 r roger salengro",93140,"Bondy","non connu","non connu","non connu",0,2.477668,48.898159,"1967-02-08","non","non connu","oui","non connu",NA,NA,NA,2,2,2,0,"NON_CONNUE","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"522303",200057875,"93010","AH6066328","2022-06-21","2025-08-24","professionnel","FONCIA CHADEFAUX LECOQ 59202763500032","FONCIA CHADEFAUX LECOQ ","59202763500032","6831Z","AUBERVILLIERS","Mandat en cours","2026-06-30","11 rue Auguste Polissard","11 r auguste polissard 93140 Bondy","11 r auguste polissard",93140,"Bondy","non connu","non connu","non connu",0,2.480425,48.905094,"2021-08-02","non","non","oui","non connu",0,0,0,21,16,15,5,"A_COMPTER_DE_2011","930100000P0025","93010","000","0P","0025","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"522929",200057875,"93010","AH6173991","2022-06-27","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 152 rue Auguste Blanqui a BONDY","152 r louis auguste blanqui 93140 Bondy","152 r louis auguste blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.491965,48.897832,"1972-03-17","non","non connu","oui","non connu",NA,NA,NA,19,5,4,0,"non renseigné","93010000AN0101","93010","000","AN","0101","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"529047",200057875,"93010","AH7190051","2022-08-26","2025-10-18","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2027-12-18","SDC COEUR DE BONDY","105 Avenue Carnot 93140 Bondy","105 Avenue Carnot",93140,"Bondy","non connu","non connu","non connu",0,2.48049,48.897491,"2015-09-11","non","non","oui","",0,1,0,69,28,28,41,"A_COMPTER_DE_2011","93010000AK0001","93010","000","AK","0001","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Oui","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"531469",200057875,"93010","AH7575913","2022-09-26","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2023-09-23","TAHRAOUI","45 r amedee guyard 93140 Bondy","45 r amedee guyard",93140,"Bondy","non connu","non connu","non connu",0,2.497117,48.905559,"2016-12-31","non","non","oui","non connu",0,0,0,5,5,5,0,"DE_1949_A_1960","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"532764",200057875,"93010","AH7793714","2022-10-03","2025-08-24","professionnel","PICHET IMMOBILIER SERVICES 43229623400029","PICHET IMMOBILIER SERVICES ","43229623400029","6832A","PESSAC","Mandat en cours","","LES TERRASSES DU CANAL","25 che lateral 93140 Bondy","25 che lateral",93140,"Bondy","non connu","non connu","non connu",0,2.477066,48.908259,"2021-11-15","non","non","oui","non connu",0,0,0,240,134,134,106,"A_COMPTER_DE_2011","930100000H0402","93010","000","0H","0402","930100000H0404","93010","000","0H","0404","930100000H0406","93010","000","0H","0406",7,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"542071",200057875,"93010","AH9296468","2023-01-03","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 25 ALLEE ANDREA A BONDY","25 all andrea 93140 Bondy","25 all andrea",93140,"Bondy","non connu","non connu","non connu",0,2.498533,48.901141,"1961-06-08","non","non connu","oui","non connu",0,0,0,14,5,5,2,"AVANT_1949","930100000X0111","93010","000","0X","0111","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"547582",200057875,"93010","AI0184168","2023-02-27","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","14 et 16 rue Marcelin Berthelot BONDY","14/16 r marcellin berthelot 93140 Bondy","14/16 r marcellin berthelot",93140,"Bondy","45-47 r robert douvillez 93140 Bondy","non connu","non connu",1,2.493819,48.904451,"1968-05-02","non","non connu","oui","non connu",1,0,0,2,2,2,0,"AVANT_1949","930100000S0013","93010","000","0S","0013","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"548052",200057875,"93010","AI0259994","2023-03-02","2025-08-24","professionnel","FONCIA CHADEFAUX LECOQ 59202763500032","FONCIA CHADEFAUX LECOQ ","59202763500032","6831Z","AUBERVILLIERS","Mandat en cours","2026-09-30","RESIDENCE COEUR ABONDY","16 av jules ferry 93140 Bondy","16 av jules ferry",93140,"Bondy","26 av jules ferry 93140 Bondy","non connu","non connu",1,2.474808,48.893553,"2020-07-20","non","non","oui","non connu",0,0,0,238,120,119,118,"A_COMPTER_DE_2011","93010000AU0185","93010","000","AU","0185","93010000AU0014","93010","000","AU","0014","93010000AU0165","93010","000","AU","0165",10,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"548188",200057875,"93010","AI0282905","2023-03-03","2025-08-24","bénévole","Identité non partagée en Open Data","Identité non partagée en Open Data","non connu","non connu","AULNAY SOUS BOIS","Mandat en cours","2026-04-03","35 rue de varsovie 93140 bondy","35 r de varsovie 93140 Bondy","35 r de varsovie",93140,"Bondy","non connu","non connu","non connu",0,2.475636,48.891902,"2022-11-24","non","non connu","oui","non connu",0,0,0,10,5,5,5,"A_COMPTER_DE_2011","93010000BG0046","93010","000","BG","0046","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"548274",200057875,"93010","AI0302547","2023-03-06","2025-08-24","professionnel","URBANIA VAL DE MARNE 30940817700074","URBANIA VAL DE MARNE ","30940817700074","6832A","LE PERREUX SUR MARNE","Mandat en cours","2026-05-08","CANAL HORIZON","che lateral, 93140 Bondy","che lateral,",93140,"Bondy","rte d'aulnay, 93140 Bondy","non connu","non connu",1,2.477936,48.907638,"2020-12-19","non","non","oui","non connu",0,0,0,276,142,136,134,"A_COMPTER_DE_2011","930100000H0364","93010","000","0H","0364","930100000H0374","93010","000","0H","0374","930100000H0396","93010","000","0H","0396",4,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"549990",200057875,"93010","AI0602284","2023-03-22","2026-01-03","non connu","non connu","non connu","non connu","non connu","non connu","Mandat expiré sans successeur déclaré","2025-12-31","CHENE ROND","163 r edouard vaillant 93140 Bondy","163 r edouard vaillant",93140,"Bondy","non connu","non connu","non connu",0,2.490869,48.894799,"2021-10-27","non","non","oui","non connu",0,0,0,10,10,10,0,"A_COMPTER_DE_2011","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Blanqui","QP093012","Blanqui","QN09312I","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"551829",200057875,"93010","AI0915207","2023-04-07","2025-11-15","professionnel","CABINET CHARLES BAUMANN 35308281100046","CABINET CHARLES BAUMANN ","35308281100046","6832A","MONTREUIL","Mandat en cours","2026-06-30","NOUE CAILLET","2 av suzanne buisson 93140 Bondy","2 av suzanne buisson",93140,"Bondy","non connu","non connu","non connu",0,2.479676,48.914139,"2021-03-11","non","non","oui","non connu",0,0,NA,78,39,39,39,"A_COMPTER_DE_2011","930100000B0192","93010","000","0B","0192","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"554020",200057875,"93010","AI1312016","2023-05-04","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","65 Allée Alice","65 all alice 93140 Bondy","65 all alice",93140,"Bondy","non connu","non connu","non connu",0,2.498239,48.903084,"2007-08-31","non","non connu","oui","non connu",NA,NA,NA,3,3,3,0,"DE_1949_A_1960","930100000U0054","93010","000","0U","0054","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"559698",200057875,"93010","AI2302354","2023-07-11","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 9 RUE DAVID LEDER A BONDY","9 r david leder 93140 Bondy","9 r david leder",93140,"Bondy","non connu","non connu","non connu",0,2.476409,48.892455,"1967-08-29","non","non connu","oui","non connu",0,0,0,2,2,2,0,"AVANT_1949","93010000BG0036","93010","000","BG","0036","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"560980",200057875,"93010","AI2523876","2023-07-26","2025-08-24","professionnel","MANDA (EX- HELLO SYNDIC) 82849989700050","MANDA (EX- HELLO SYNDIC) ","82849989700050","6832A","NEUILLY-SUR-SEINE","Mandat en cours","2026-08-11","SDC 34 Villa Fleury 93140 BONDY","34 vla fleury 93140 Bondy","34 vla fleury",93140,"Bondy","non connu","non connu","non connu",0,2.478301,48.90399,"2023-07-26","non","non","oui","non connu",0,0,0,43,15,15,11,"DE_1961_A_1974","930100000J0037","93010","000","0J","0037","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"564738",200057875,"93010","AI3175528","2023-09-19","2025-08-24","professionnel","URBANIA VAL DE MARNE 30940817700074","URBANIA VAL DE MARNE ","30940817700074","6832A","LE PERREUX SUR MARNE","Mandat en cours","2026-05-11","Carré Nature","1 rue odette pain, 93140 Bondy","1 rue odette pain,",93140,"Bondy","non connu","non connu","non connu",0,2.478827,48.913762,"2020-12-30","non","non","oui","non connu",0,0,0,47,41,40,0,"A_COMPTER_DE_2011","930100000B0249","93010","000","0B","0249","930100000B0374","93010","000","0B","0374","930100000B0380","93010","000","0B","0380",3,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"566736",200057875,"93010","AI3513207","2023-10-12","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","37 bis allée Raspail","37B all raspail 93140 Bondy","37B all raspail",93140,"Bondy","non connu","non connu","non connu",0,2.497806,48.903816,"1965-09-15","non","non connu","oui","non connu",0,0,0,2,2,2,0,"AVANT_1949","930100000T0086","93010","000","0T","0086","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"567028",200057875,"93010","AI3566759","2023-10-17","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 75/77 rue Edouard Vaillant","75 r edouard vaillant 93140 Bondy","75 r edouard vaillant",93140,"Bondy","non connu","non connu","non connu",0,2.483795,48.89575,"1953-11-13","non","non connu","oui","non connu",0,0,0,6,6,2,0,"AVANT_1949","93010000AL0061","93010","000","AL","0061","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"567171",200057875,"93010","AI3588126","2023-10-18","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 20 rue du Progrès","20 r du progres 93140 Bondy","20 r du progres",93140,"Bondy","non connu","non connu","non connu",0,2.49511,48.895702,"2002-04-04","non","non connu","oui","non connu",0,0,0,2,2,2,0,"AVANT_1949","93010000AO0115","93010","000","AO","0115","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"568828",200057875,"93010","AI3874807","2023-11-15","2025-12-27","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-10-20","Syndic des copropriétaires La Villageoise","41 av de la villageoise 93140 Bondy","41 av de la villageoise",93140,"Bondy","non connu","non connu","non connu",0,2.490603,48.910107,"1990-06-27","non","non","oui","non connu",0,0,0,19,8,8,5,"AVANT_1949","930100000E0104","93010","000","0E","0104","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"569023",200057875,"93010","AI3906666","2023-11-13","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-05-06","SDC 79 BIS RUE ROGER SALENGRO 93140 BONDY","79B r roger salengro 93140 Bondy","79B r roger salengro",93140,"Bondy","non connu","non connu","non connu",0,2.477345,48.896754,"1963-10-21","non","non","oui","non connu",0,0,0,13,12,5,1,"AVANT_1949","93010000AJ0001","93010","000","AJ","0001","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"569290",200057875,"93010","AI3953841","2023-11-15","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC DU 62 RUE ETIENNE DOLET A BONDY","62 r etienne dolet 93140 Bondy","62 r etienne dolet",93140,"Bondy","non connu","non connu","non connu",0,2.476742,48.890378,"1972-05-29","non","non connu","oui","non connu",0,0,0,4,2,2,0,"DE_1961_A_1974","93010000BH0132","93010","000","BH","0132","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"569951",200057875,"93010","AI4069001","2023-11-22","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","66 avenue Anatole France 93140 BONDY","66 av anatole france 93140 Bondy","66 av anatole france",93140,"Bondy","non connu","non connu","non connu",0,2.49792,48.892904,"1957-10-30","non","non","oui","non connu",NA,NA,NA,7,4,2,0,"AVANT_1949","93010000AQ0165","93010","000","AQ","0165","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"570622",200057875,"93010","AI4194577","2023-12-01","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC DU 18 RUE LOUIS AUGUSTE BLANQUI A BONDY","18 Rue Louis Auguste Blanqui 93140 Bondy","18 Rue Louis Auguste Blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.48056,48.900013,"2007-07-30","non","non connu","oui","non connu",0,0,0,2,1,1,1,"AVANT_1949","93010000AJ0053","93010","000","AJ","0053","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"572136",200057875,"93010","AI4469300","2023-12-21","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 113 RUE BAUDIN","113 Rue Baudin 93140 Bondy","113 Rue Baudin",93140,"Bondy","Rue de l'Egalité 93140 Bondy","non connu","non connu",1,2.473907,48.898323,"1995-06-15","non","non connu","oui","non connu",0,0,0,3,3,3,0,"DE_1949_A_1960","93010000AI0038","93010","000","AI","0038","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"572396",200057875,"93010","AI4516829","2023-12-26","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 25 RUE YVONNE BONDY","25 Rue Yvonne 93140 Bondy","25 Rue Yvonne",93140,"Bondy","non connu","non connu","non connu",0,2.477397,48.899922,"1990-07-26","non","non connu","oui","non connu",0,0,0,11,4,4,0,"DE_1949_A_1960","93010000AH0245","93010","000","AH","0245","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"572855",200057875,"93010","AI4601472","2024-01-04","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","SDC 1 allée Raspail 93140 BONDY","1 Allée Raspail 93140 Bondy","1 Allée Raspail",93140,"Bondy","non connu","non connu","non connu",0,2.494943,48.90399,"1962-03-08","non","non connu","oui","non connu",0,0,0,2,2,2,0,"DE_1961_A_1974","930100000T0067","93010","000","0T","0067","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"574226",200057875,"93010","AI4856316","2024-01-22","2025-09-06","professionnel","CABINET CHARLES BAUMANN 35308281100046","CABINET CHARLES BAUMANN ","35308281100046","6832A","MONTREUIL","Mandat en cours","2026-06-30","TERRASSES DU CANAL","Chemin latéral, Ilot C10 de la ZAC Les Rives de l'Ourcq, 93140 BONDY","Chemin latéral, Ilot C10 de la ZAC Les Rives de l'Ourcq,",93140,"BONDY","non connu","non connu","non connu",0,2.477443941,48.908024285,"2021-11-15","non","non","oui","non connu",0,0,0,240,134,123,106,"A_COMPTER_DE_2011","930100000H0419","93010","000","0H","0419","930100000H0417","93010","000","0H","0417","930100000H0414","93010","000","0H","0414",7,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
